user,project,snr,records,mean_fraction_audio_annotation_true,mean_fraction_review_annotation_true,average_matched_word_count,normalized_matched_word_count
19,quick,0,10,0.2,0.2,1.0,0.2
19,quick,5,10,0.9,0.9,4.5,0.9
19,quick,10,10,0.9,0.86,3.5,0.7
19,quick,15,10,1.0,0.9,4.5,0.9
19,quick,20,10,1.0,0.9,4.5,0.9
19,quick,25,11,1.0,0.9636363636363636,2.909090909090909,0.5818181818181818
20,quick,0,15,0.0,0.0,0.0,0.0
20,quick,5,15,0.0,0.0,0.0,0.0
20,quick,10,15,0.0,0.0,0.0,0.0
20,quick,15,15,0.2,0.28,1.0,0.2
20,quick,20,15,0.0,0.0,0.0,0.0
20,quick,25,15,0.0,0.06666666666666667,0.0,0.0
22,quick,0,14,0.0,0.0,0.0,0.0
22,quick,5,14,0.2,0.1,0.5,0.1
22,quick,10,14,1.0,0.9857142857142858,4.5,0.9
22,quick,15,14,0.6,0.5857142857142856,3.0,0.6
22,quick,20,14,0.6,0.5142857142857143,3.0,0.6
22,quick,25,15,0.37333333333333335,0.4,1.8666666666666667,0.37333333333333335
26,quick,0,14,0.5,0.5,2.5,0.5
26,quick,5,14,1.0,0.9857142857142858,5.0,1.0
26,quick,10,14,1.0,1.0,5.0,1.0
26,quick,15,14,1.0,1.0,5.0,1.0
26,quick,20,14,1.0,1.0,5.0,1.0
26,quick,25,14,1.0,0.9285714285714286,4.5,0.9
30,quick,0,12,0.5,0.48333333333333334,2.5,0.5
30,quick,5,12,0.9,0.9,4.5,0.9
30,quick,10,12,1.0,0.8666666666666667,5.0,1.0
30,quick,15,12,1.0,1.0,5.0,1.0
30,quick,20,12,1.0,1.0,5.0,1.0
30,quick,25,12,1.0,1.0,5.0,1.0
32,quick,0,10,0.2,0.2,1.0,0.2
32,quick,5,10,0.8,0.5,4.0,0.8
32,quick,10,10,0.8,0.86,4.0,0.8
32,quick,15,10,1.0,1.0,5.0,1.0
32,quick,20,10,1.0,1.0,5.0,1.0
32,quick,25,10,0.9,0.9400000000000001,4.5,0.9
35,quick,0,14,0.2,0.31428571428571433,1.0,0.2
35,quick,5,14,1.0,0.5,2.5,0.5
35,quick,10,14,1.0,1.0,5.0,1.0
35,quick,15,14,1.0,1.0,5.0,1.0
35,quick,20,14,1.0,0.9857142857142858,5.0,1.0
35,quick,25,14,1.0,1.0,5.0,1.0
36,quick,0,10,0.0,0.0,0.0,0.0
36,quick,5,10,0.6,0.6,3.0,0.6
36,quick,10,10,0.7,0.7,3.0,0.6
36,quick,15,10,1.0,1.0,5.0,1.0
36,quick,20,10,0.8,0.72,3.5,0.7
36,quick,25,10,0.9,0.8800000000000001,4.5,0.9
46,quick,0,10,0.5,0.5,2.5,0.5
46,quick,5,10,1.0,1.0,5.0,1.0
46,quick,10,10,0.9,0.78,3.5,0.7
46,quick,15,10,0.9,0.9,4.0,0.8
46,quick,20,10,1.0,0.96,5.0,1.0
46,quick,25,10,0.9,0.74,3.5,0.7
47,quick,0,16,0.0,0.0,0.0,0.0
47,quick,5,16,0.5,0.0,0.0,0.0
47,quick,10,16,0.0,0.0,0.0,0.0
47,quick,15,16,0.8,0.8875000000000001,4.0,0.8
47,quick,20,16,0.5,0.5,2.5,0.5
47,quick,25,16,1.0,0.7375,5.0,1.0
48,quick,0,12,0.0,0.0,0.0,0.0
48,quick,5,12,0.8000000000000002,0.4000000000000001,2.0,0.4
48,quick,10,12,1.0,0.9833333333333334,4.5,0.9
48,quick,15,12,0.9,0.6,3.5,0.7
48,quick,20,12,0.9,0.8000000000000002,4.0,0.8
48,quick,25,12,0.7000000000000001,0.3,1.5,0.3
49,quick,0,13,0.2153846153846154,0.2153846153846154,1.0769230769230769,0.21538461538461537
49,quick,5,13,0.6923076923076923,0.7538461538461539,3.4615384615384617,0.6923076923076923
49,quick,10,13,0.7076923076923076,0.7384615384615384,3.5384615384615383,0.7076923076923076
49,quick,15,13,0.9076923076923078,0.8923076923076922,4.538461538461538,0.9076923076923077
49,quick,20,14,0.9,0.9142857142857144,4.5,0.9
49,quick,25,14,0.8,0.8857142857142858,4.0,0.8
50,quick,0,20,0.5,0.48,2.5,0.5
50,quick,5,20,0.95,0.95,4.75,0.95
50,quick,10,20,0.95,0.95,4.75,0.95
50,quick,15,20,1.0,1.0,4.5,0.9
50,quick,20,20,1.0,1.0,5.0,1.0
50,quick,25,20,1.0,0.75,4.5,0.9
53,quick,0,12,0.10000000000000002,0.18333333333333335,0.5,0.1
53,quick,5,12,1.0,0.9666666666666667,4.5,0.9
53,quick,10,12,0.9,0.9,4.5,0.9
53,quick,15,12,0.9,0.9166666666666666,4.5,0.9
53,quick,20,12,1.0,1.0,5.0,1.0
53,quick,25,12,1.0,1.0,5.0,1.0
54,quick,0,15,0.26666666666666666,0.26666666666666666,1.3333333333333333,0.26666666666666666
54,quick,5,15,0.9333333333333333,0.9333333333333333,4.666666666666667,0.9333333333333333
54,quick,10,15,1.0,1.0,5.0,1.0
54,quick,15,15,0.8666666666666667,0.5466666666666666,3.0,0.6
54,quick,20,15,1.0,1.0,5.0,1.0
54,quick,25,15,1.0,1.0,5.0,1.0
55,quick,0,8,0.2,0.225,1.0,0.2
55,quick,5,8,1.0,1.0,5.0,1.0
55,quick,10,8,1.0,1.0,5.0,1.0
55,quick,15,8,0.9,0.9,4.5,0.9
55,quick,20,9,1.0,1.0,5.0,1.0
55,quick,25,9,1.0,1.0,5.0,1.0
56,quick,0,12,0.4000000000000001,0.43333333333333335,2.0,0.4
56,quick,5,12,1.0,1.0,5.0,1.0
56,quick,10,12,1.0,1.0,5.0,1.0
56,quick,15,12,1.0,1.0,5.0,1.0
56,quick,20,12,1.0,1.0,5.0,1.0
56,quick,25,12,1.0,0.85,5.0,1.0
57,quick,0,12,0.4000000000000001,0.5,1.5,0.3
57,quick,5,12,1.0,1.0,5.0,1.0
57,quick,10,12,0.9,0.9500000000000001,4.5,0.9
57,quick,15,12,1.0,1.0,5.0,1.0
57,quick,20,12,1.0,1.0,5.0,1.0
57,quick,25,12,1.0,1.0,5.0,1.0
59,quick,0,14,0.3,0.31428571428571433,1.5,0.3
59,quick,5,14,1.0,1.0,5.0,1.0
59,quick,10,14,0.9,0.9,4.5,0.9
59,quick,15,14,1.0,1.0,5.0,1.0
